artist_id,confidence_score,http_status,label,last_checked_at,link_id,link_type,record_company_id,redirect_url,source_url,url,validation_status
rca_5fe1f13f,0.99,200,Artists,2026-07-25T03:31:54.725Z,rcl_8b42f240,artists,rc_b9181116,https://www.lanewaymusic.com.au/,https://www.lanewaymusic.com.au/chain,https://www.lanewaymusic.com.au/,verified
rca_62970ef1,0.99,200,About,2026-07-25T03:46:57.155Z,rcl_979983d7,about,rc_b9181116,https://www.lanewaymusic.com.au/about,https://www.lanewaymusic.com.au/little-heroes,https://www.lanewaymusic.com.au/about,verified
rca_62970ef1,0.99,200,Artists,2026-07-25T03:46:57.292Z,rcl_3b4e4f7d,artists,rc_b9181116,https://www.lanewaymusic.com.au/,https://www.lanewaymusic.com.au/little-heroes,https://www.lanewaymusic.com.au/,verified
rca_65232d13,0.99,200,About,2026-07-25T03:37:30.831Z,rcl_57592429,about,rc_b9181116,https://www.lanewaymusic.com.au/about,https://www.lanewaymusic.com.au/dollsquad,https://www.lanewaymusic.com.au/about,verified
rca_65232d13,0.99,200,Artists,2026-07-25T03:37:30.961Z,rcl_21b378f7,artists,rc_b9181116,https://www.lanewaymusic.com.au/,https://www.lanewaymusic.com.au/dollsquad,https://www.lanewaymusic.com.au/,verified
rca_6536cd57,0.99,200,About,2026-07-25T04:04:26.084Z,rcl_9912e206,about,rc_b9181116,https://www.lanewaymusic.com.au/about,https://www.lanewaymusic.com.au/stu-thomas,https://www.lanewaymusic.com.au/about,verified
rca_6536cd57,0.99,200,Artists,2026-07-25T04:04:26.210Z,rcl_8c3768f6,artists,rc_b9181116,https://www.lanewaymusic.com.au/,https://www.lanewaymusic.com.au/stu-thomas,https://www.lanewaymusic.com.au/,verified
rca_653de027,0.99,200,About,2026-07-25T03:35:59.415Z,rcl_65c3e0b1,about,rc_b9181116,https://www.lanewaymusic.com.au/about,https://www.lanewaymusic.com.au/damienlovelock,https://www.lanewaymusic.com.au/about,verified
rca_653de027,0.99,200,Artists,2026-07-25T03:35:59.542Z,rcl_db97957f,artists,rc_b9181116,https://www.lanewaymusic.com.au/,https://www.lanewaymusic.com.au/damienlovelock,https://www.lanewaymusic.com.au/,verified
rca_692ae78f,0.99,200,About,2026-07-25T03:38:39.551Z,rcl_5a9cadd7,about,rc_b9181116,https://www.lanewaymusic.com.au/about,https://www.lanewaymusic.com.au/ekkomusic,https://www.lanewaymusic.com.au/about,verified
rca_692ae78f,0.99,200,Artists,2026-07-25T03:38:39.674Z,rcl_50b38d7d,artists,rc_b9181116,https://www.lanewaymusic.com.au/,https://www.lanewaymusic.com.au/ekkomusic,https://www.lanewaymusic.com.au/,verified
rca_6c287f3b,0.99,200,About,2026-07-25T03:30:36.032Z,rcl_b71aa610,about,rc_b9181116,https://www.lanewaymusic.com.au/about,https://www.lanewaymusic.com.au/bittersweetkicks,https://www.lanewaymusic.com.au/about,verified
rca_6c287f3b,0.99,200,Artists,2026-07-25T03:30:36.163Z,rcl_22ca4650,artists,rc_b9181116,https://www.lanewaymusic.com.au/,https://www.lanewaymusic.com.au/bittersweetkicks,https://www.lanewaymusic.com.au/,verified
rca_709fd8c1,0.99,200,About,2026-07-25T03:45:42.131Z,rcl_87f83cd1,about,rc_b9181116,https://www.lanewaymusic.com.au/about,https://www.lanewaymusic.com.au/lafemme,https://www.lanewaymusic.com.au/about,verified
rca_709fd8c1,0.99,200,Artists,2026-07-25T03:45:42.258Z,rcl_bba3439f,artists,rc_b9181116,https://www.lanewaymusic.com.au/,https://www.lanewaymusic.com.au/lafemme,https://www.lanewaymusic.com.au/,verified
rca_7931959f,0.99,200,About,2026-07-25T03:44:07.531Z,rcl_2b9dfd3c,about,rc_b9181116,https://www.lanewaymusic.com.au/about,https://www.lanewaymusic.com.au/joshabrahams,https://www.lanewaymusic.com.au/about,verified
rca_7931959f,0.99,200,Artists,2026-07-25T03:44:07.676Z,rcl_34e0b024,artists,rc_b9181116,https://www.lanewaymusic.com.au/,https://www.lanewaymusic.com.au/joshabrahams,https://www.lanewaymusic.com.au/,verified
rca_7ad59425,0.99,200,About,2026-07-25T03:56:25.982Z,rcl_a7cba22e,about,rc_b9181116,https://www.lanewaymusic.com.au/about,https://www.lanewaymusic.com.au/shockpoets,https://www.lanewaymusic.com.au/about,verified
rca_7ad59425,0.99,200,Artists,2026-07-25T03:56:26.112Z,rcl_5af6dd1e,artists,rc_b9181116,https://www.lanewaymusic.com.au/,https://www.lanewaymusic.com.au/shockpoets,https://www.lanewaymusic.com.au/,verified
rca_7c9e721a,0.99,200,About,2026-07-25T04:10:35.768Z,rcl_2d4357ea,about,rc_b9181116,https://www.lanewaymusic.com.au/about,https://www.lanewaymusic.com.au/zimmerman,https://www.lanewaymusic.com.au/about,verified
rca_7c9e721a,0.99,200,Artists,2026-07-25T04:10:35.895Z,rcl_d4b69332,artists,rc_b9181116,https://www.lanewaymusic.com.au/,https://www.lanewaymusic.com.au/zimmerman,https://www.lanewaymusic.com.au/,verified
rca_7f5426e0,0.99,200,About,2026-07-25T03:48:54.756Z,rcl_66d8617c,about,rc_b9181116,https://www.lanewaymusic.com.au/about,https://www.lanewaymusic.com.au/matt-taylor,https://www.lanewaymusic.com.au/about,verified
rca_7f5426e0,0.99,200,Artists,2026-07-25T03:48:54.881Z,rcl_c9e7d464,artists,rc_b9181116,https://www.lanewaymusic.com.au/,https://www.lanewaymusic.com.au/matt-taylor,https://www.lanewaymusic.com.au/,verified
rca_82d9ac4a,0.99,200,About,2026-07-25T04:05:31.464Z,rcl_567f3d93,about,rc_b9181116,https://www.lanewaymusic.com.au/about,https://www.lanewaymusic.com.au/themarkofcain,https://www.lanewaymusic.com.au/about,verified
rca_82d9ac4a,0.99,200,Artists,2026-07-25T04:05:31.607Z,rcl_0056a861,artists,rc_b9181116,https://www.lanewaymusic.com.au/,https://www.lanewaymusic.com.au/themarkofcain,https://www.lanewaymusic.com.au/,verified
rca_8361f035,0.99,200,About,2026-07-25T03:35:12.495Z,rcl_c71ebc4b,about,rc_b9181116,https://www.lanewaymusic.com.au/about,https://www.lanewaymusic.com.au/christophermarshall,https://www.lanewaymusic.com.au/about,verified
rca_8361f035,0.99,200,Artists,2026-07-25T03:35:12.639Z,rcl_e005f6f9,artists,rc_b9181116,https://www.lanewaymusic.com.au/,https://www.lanewaymusic.com.au/christophermarshall,https://www.lanewaymusic.com.au/,verified
rca_843fc7f6,0.99,200,About,2026-07-25T04:06:57.996Z,rcl_7c7a8c36,about,rc_b9181116,https://www.lanewaymusic.com.au/about,https://www.lanewaymusic.com.au/uppercut,https://www.lanewaymusic.com.au/about,verified
rca_843fc7f6,0.99,200,Artists,2026-07-25T04:06:58.152Z,rcl_6f3698e6,artists,rc_b9181116,https://www.lanewaymusic.com.au/,https://www.lanewaymusic.com.au/uppercut,https://www.lanewaymusic.com.au/,verified
rca_85b9306e,0.99,200,About,2026-07-25T03:55:25.665Z,rcl_af3831bd,about,rc_b9181116,https://www.lanewaymusic.com.au/about,https://www.lanewaymusic.com.au/remora,https://www.lanewaymusic.com.au/about,verified
rca_85b9306e,0.99,200,Artists,2026-07-25T03:55:25.790Z,rcl_532fb473,artists,rc_b9181116,https://www.lanewaymusic.com.au/,https://www.lanewaymusic.com.au/remora,https://www.lanewaymusic.com.au/,verified
rca_9255b66a,0.99,200,About,2026-07-25T03:43:18.249Z,rcl_87af59b1,about,rc_b9181116,https://www.lanewaymusic.com.au/about,https://www.lanewaymusic.com.au/john-kennedy,https://www.lanewaymusic.com.au/about,verified
rca_9255b66a,0.99,200,Artists,2026-07-25T03:43:18.378Z,rcl_da75607f,artists,rc_b9181116,https://www.lanewaymusic.com.au/,https://www.lanewaymusic.com.au/john-kennedy,https://www.lanewaymusic.com.au/,verified
rca_992a163c,0.99,200,About,2026-07-25T03:31:20.149Z,rcl_c04bab67,about,rc_b9181116,https://www.lanewaymusic.com.au/about,https://www.lanewaymusic.com.au/cattletruck,https://www.lanewaymusic.com.au/about,verified
rca_992a163c,0.99,200,Artists,2026-07-25T03:31:20.295Z,rcl_5d624d0d,artists,rc_b9181116,https://www.lanewaymusic.com.au/,https://www.lanewaymusic.com.au/cattletruck,https://www.lanewaymusic.com.au/,verified
rca_a6c3e440,0.99,200,About,2026-07-25T03:49:36.187Z,rcl_9927288d,about,rc_b9181116,https://www.lanewaymusic.com.au/about,https://www.lanewaymusic.com.au/mothergoose,https://www.lanewaymusic.com.au/about,verified
rca_a6c3e440,0.99,200,Artists,2026-07-25T03:49:36.327Z,rcl_cc60fb03,artists,rc_b9181116,https://www.lanewaymusic.com.au/,https://www.lanewaymusic.com.au/mothergoose,https://www.lanewaymusic.com.au/,verified
rca_a6d02f89,0.99,200,About,2026-07-25T04:06:38.405Z,rcl_f983f6a9,about,rc_b9181116,https://www.lanewaymusic.com.au/about,https://www.lanewaymusic.com.au/toyswentberserk,https://www.lanewaymusic.com.au/about,verified
rca_a6d02f89,0.99,200,Artists,2026-07-25T04:06:38.530Z,rcl_1cfde077,artists,rc_b9181116,https://www.lanewaymusic.com.au/,https://www.lanewaymusic.com.au/toyswentberserk,https://www.lanewaymusic.com.au/,verified
rca_a8764227,0.99,200,About,2026-07-25T03:47:31.312Z,rcl_d85fc92c,about,rc_b9181116,https://www.lanewaymusic.com.au/about,https://www.lanewaymusic.com.au/little-murders,https://www.lanewaymusic.com.au/about,verified
rca_a8764227,0.99,200,Artists,2026-07-25T03:47:31.453Z,rcl_a423ba14,artists,rc_b9181116,https://www.lanewaymusic.com.au/,https://www.lanewaymusic.com.au/little-murders,https://www.lanewaymusic.com.au/,verified
rca_a8764227,0.99,200,Facebook,2026-07-25T03:47:34.060Z,rcl_e387f6ab,facebook,rc_b9181116,https://www.meta.com/en-gb/about?utm_source=about.facebook.com&utm_medium=redirect,https://www.lanewaymusic.com.au/little-murders,https://www.meta.com/en-gb/about?utm_source=about.facebook.com&utm_medium=redirect,verified
rca_ad51176e,0.99,200,About,2026-07-25T03:40:36.027Z,rcl_77f9b487,about,rc_b9181116,https://www.lanewaymusic.com.au/about,https://www.lanewaymusic.com.au/harrycarman,https://www.lanewaymusic.com.au/about,verified
rca_ad51176e,0.99,200,Artists,2026-07-25T03:40:36.170Z,rcl_2cd7fd2d,artists,rc_b9181116,https://www.lanewaymusic.com.au/,https://www.lanewaymusic.com.au/harrycarman,https://www.lanewaymusic.com.au/,verified
rca_aecd3cc1,0.99,200,About,2026-07-25T03:41:34.572Z,rcl_b129b116,about,rc_b9181116,https://www.lanewaymusic.com.au/about,https://www.lanewaymusic.com.au/jeff-duff,https://www.lanewaymusic.com.au/about,verified
rca_aecd3cc1,0.99,200,Artists,2026-07-25T03:41:34.701Z,rcl_a783e446,artists,rc_b9181116,https://www.lanewaymusic.com.au/,https://www.lanewaymusic.com.au/jeff-duff,https://www.lanewaymusic.com.au/,verified
rca_aefa3291,0.99,200,About,2026-07-25T03:56:45.896Z,rcl_0ad0be89,about,rc_b9181116,https://www.lanewaymusic.com.au/about,https://www.lanewaymusic.com.au/sideshowannie,https://www.lanewaymusic.com.au/about,verified
