entityId,entityType,featured,label,png,svg,trackingUrl,verified
rca_fa034418,artist,False,Lime Spiders,qr/lime-spiders.png,qr/lime-spiders.svg,https://deep-cuts.andrewharris501.workers.dev/record-company/q/rcq_2e3f4929,True
rca_62970ef1,artist,False,Little Heroes,qr/little-heroes.png,qr/little-heroes.svg,https://deep-cuts.andrewharris501.workers.dev/record-company/q/rcq_e7ec236a,True
rca_a8764227,artist,False,Little Murders,qr/little-murders.png,qr/little-murders.svg,https://deep-cuts.andrewharris501.workers.dev/record-company/q/rcq_3b1e17b1,True
rca_f956beb0,artist,False,Love Child,qr/love-child.png,qr/love-child.svg,https://deep-cuts.andrewharris501.workers.dev/record-company/q/rcq_ca457581,True
rca_c151fb41,artist,False,Madder Lake,qr/madder-lake.png,qr/madder-lake.svg,https://deep-cuts.andrewharris501.workers.dev/record-company/q/rcq_3467b249,True
rca_33bd6ddc,artist,False,Mark Williams,qr/mark-williams.png,qr/mark-williams.svg,https://deep-cuts.andrewharris501.workers.dev/record-company/q/rcq_2ed7aadb,True
rca_7f5426e0,artist,False,Matt Taylor,qr/matt-taylor.png,qr/matt-taylor.svg,https://deep-cuts.andrewharris501.workers.dev/record-company/q/rcq_0f22dd05,True
rca_a6c3e440,artist,False,Mother Goose,qr/mother-goose.png,qr/mother-goose.svg,https://deep-cuts.andrewharris501.workers.dev/record-company/q/rcq_55217880,True
rca_1e3e2d2e,artist,False,Pat Powell,qr/pat-powell.png,qr/pat-powell.svg,https://deep-cuts.andrewharris501.workers.dev/record-company/q/rcq_c0651145,True
rca_4f6c2da8,artist,False,Peter Money,qr/peter-money.png,qr/peter-money.svg,https://deep-cuts.andrewharris501.workers.dev/record-company/q/rcq_bed999f6,True
rca_f9a1726f,artist,False,Pray TV,qr/pray-tv.png,qr/pray-tv.svg,https://deep-cuts.andrewharris501.workers.dev/record-company/q/rcq_09489b9e,True
rca_85b9306e,artist,False,Remora,qr/remora.png,qr/remora.svg,https://deep-cuts.andrewharris501.workers.dev/record-company/q/rcq_f018f210,True
rca_e8248e08,artist,False,Seven Stories,qr/seven-stories.png,qr/seven-stories.svg,https://deep-cuts.andrewharris501.workers.dev/record-company/q/rcq_1975d8ec,True
rca_7ad59425,artist,False,Shock Poets,qr/shock-poets.png,qr/shock-poets.svg,https://deep-cuts.andrewharris501.workers.dev/record-company/q/rcq_6108d7df,True
rca_aefa3291,artist,False,SideShow Annie,qr/sideshow-annie.png,qr/sideshow-annie.svg,https://deep-cuts.andrewharris501.workers.dev/record-company/q/rcq_b47dcd70,True
rca_afdd6efa,artist,False,Southbound Snake Charmers,qr/southbound-snake-charmers.png,qr/southbound-snake-charmers.svg,https://deep-cuts.andrewharris501.workers.dev/record-company/q/rcq_0feade57,True
rca_0443ced3,artist,False,Spencer P. Jones,qr/spencer-p--jones.png,qr/spencer-p--jones.svg,https://deep-cuts.andrewharris501.workers.dev/record-company/q/rcq_534c5b24,True
rca_6536cd57,artist,False,Stu Thomas,qr/stu-thomas.png,qr/stu-thomas.svg,https://deep-cuts.andrewharris501.workers.dev/record-company/q/rcq_fee9122f,True
rca_b30b5e42,artist,False,The 31st,qr/the-31st.png,qr/the-31st.svg,https://deep-cuts.andrewharris501.workers.dev/record-company/q/rcq_8589b049,True
rca_82d9ac4a,artist,False,The Mark of Cain,qr/the-mark-of-cain.png,qr/the-mark-of-cain.svg,https://deep-cuts.andrewharris501.workers.dev/record-company/q/rcq_7b434be6,True
rca_d57ce9c9,artist,False,The Rockwells / Rockwell T James,qr/the-rockwells---rockwell-t-james.png,qr/the-rockwells---rockwell-t-james.svg,https://deep-cuts.andrewharris501.workers.dev/record-company/q/rcq_64fd4a0b,True
rca_a6d02f89,artist,False,Toys Went Berserk,qr/toys-went-berserk.png,qr/toys-went-berserk.svg,https://deep-cuts.andrewharris501.workers.dev/record-company/q/rcq_a17ffadc,True
rca_843fc7f6,artist,False,Uppercut,qr/uppercut.png,qr/uppercut.svg,https://deep-cuts.andrewharris501.workers.dev/record-company/q/rcq_190fc03b,True
rca_1e86f0e4,artist,False,Ups and Downs,qr/ups-and-downs.png,qr/ups-and-downs.svg,https://deep-cuts.andrewharris501.workers.dev/record-company/q/rcq_04de5147,True
rca_09ede191,artist,False,Virgin Soldiers,qr/virgin-soldiers.png,qr/virgin-soldiers.svg,https://deep-cuts.andrewharris501.workers.dev/record-company/q/rcq_3635e9ea,True
rca_7c9e721a,artist,False,Zimmerman,qr/zimmerman.png,qr/zimmerman.svg,https://deep-cuts.andrewharris501.workers.dev/record-company/q/rcq_86742983,True
rca_5b2a35d7,artist,False,Zorros,qr/zorros.png,qr/zorros.svg,https://deep-cuts.andrewharris501.workers.dev/record-company/q/rcq_520328bf,True
